lat, lon, map_anm_mean, map_se_mean, map_tstat,map_sig, map_sig_val,map_npts,p
53,-107,-26.24,70.965,-0.3698,0,0,3,0.008970304
61,-107,152.295,78.6062,1.9374,0,0,2,0.008098412
37,-105,7.7855,78.0189,0.0998,0,0,2,0.008159368
39,-105,36.7805,78.1326,0.4707,0,0,2,0.008147496
41,-105,-14.4285,74.781,-0.1929,0,0,2,0.008512615
53,-105,3.6967,70.3922,0.0525,0,0,3,0.009043288
55,-105,-38.968,43.0159,-0.9059,0,0,5,0.014796973
41,-103,-3.6453,54.4218,-0.067,0,0,4,0.011696565
57,-103,-37.7567,50.1276,-0.7532,0,0,3,0.012698301
49,-101,-22.5237,70.0849,-0.3214,0,0,3,0.009082935
55,-101,27.8,74.4964,0.3732,0,0,2,0.008545132
57,-101,-152.2275,53.8919,-2.8247,-1,-152.2275,4,0.011811547
61,-101,258.2987,81.4586,3.1709,1,258.2987,3,0.007814863
63,-101,491.8798,63.2009,7.7828,1,491.8798,4,0.010072114
39,-99,-63.5237,70.9271,-0.8956,0,0,3,0.008975097
47,-99,-29.2716,45.5137,-0.6431,0,0,8,0.013985182
49,-99,-69.2556,36.6105,-1.8917,0,0,10,0.017384672
51,-99,-12.8009,37.2528,-0.3436,0,0,7,0.017085076
53,-99,0.0033,53.8953,0.0001,0,0,4,0.011810802
29,-97,114.96,74.1925,1.5495,0,0,4,0.008580129
31,-97,-15.81,55.4404,-0.2852,0,0,6,0.011481713
45,-97,-54.1813,37.3731,-1.4497,0,0,8,0.017030107
47,-97,-73.966,42.3613,-1.7461,0,0,5,0.015025544
57,-97,28.33,148.385,0.1909,0,0,1,0.004290259
35,-95,-187,148.385,-1.2602,0,0,1,0.004290259
39,-95,-217.465,74.5957,-2.9153,-1,-217.465,2,0.008533758
43,-95,-200.077,53.1825,-3.7621,-1,-200.077,4,0.011969064
45,-95,24,148.385,0.1617,0,0,1,0.004290259
47,-95,-75.1537,18.0926,-4.1538,-1,-75.1537,39,0.035150984
51,-95,90.739,70.9548,1.2788,0,0,3,0.008971594
73,-95,110.6425,49.5255,2.2341,1,110.6425,6,0.012852637
33,-93,0,148.385,0,0,0,1,0.004290259
43,-93,-210.809,25.6259,-8.2264,-1,-210.809,18,0.024830227
45,-93,-67.348,18.1192,-3.7169,-1,-67.348,37,0.035099485
47,-93,-19.0454,21.1234,-0.9016,0,0,30,0.030115645
49,-93,10.6847,42.5238,0.2513,0,0,7,0.014968146
51,-93,254.84,28.45,8.9575,1,254.84,1,0.022367585
37,-91,-131.1118,67.4982,-1.9424,0,0,4,0.009430966
43,-91,-119.5913,71.6116,-1.67,0,0,3,0.00888932
45,-91,12.2561,32.9618,0.3718,0,0,12,0.019307943
47,-91,-58.95,70.0757,-0.8412,0,0,3,0.009084127
49,-91,-11.0173,33.3818,-0.33,0,0,11,0.019065163
51,-91,-39.3732,53.4319,-0.7369,0,0,4,0.01191321
33,-89,-440,148.385,-2.9653,-1,-440,1,0.004290259
37,-89,-173.541,67.9925,-2.5524,-1,-173.541,4,0.009362413
41,-89,37.561,53.5547,0.7014,0,0,4,0.0118859
43,-89,-68.5521,19.9951,-3.4284,-1,-68.5521,28,0.031812284
45,-89,230.905,74.5435,3.0976,1,230.905,2,0.008539733
47,-89,-77.8406,37.2747,-2.0883,-1,-77.8406,8,0.017075043
49,-89,31.5845,41.6947,0.7575,0,0,8,0.015265675
31,-87,-47.5708,53.6032,-0.8875,0,0,4,0.011875148
33,-87,-175.9033,71.5277,-2.4592,-1,-175.9033,3,0.008899745
41,-87,-65.1869,30.7418,-2.1205,-1,-65.1869,13,0.020701305
45,-87,26.8729,36.5925,0.7344,0,0,10,0.017393219
47,-87,-61.5416,36.6978,-1.677,0,0,10,0.017343336
49,-87,-58.52,75.0131,-0.7801,0,0,2,0.008486279
31,-85,-53.847,55.2771,-0.9741,0,0,4,0.011515625
35,-85,-160.0133,51.2056,-3.1249,-1,-160.0133,3,0.01243104
37,-85,-47.3977,53.1032,-0.8926,0,0,7,0.011986934
41,-85,3.5546,37.6746,0.0944,0,0,8,0.016893884
