lat, lon, gdd5_anm_mean, gdd5_se_mean, gdd5_tstat,gdd5_sig, gdd5_sig_val,gdd5_npts
   65.000000,  -111.000000,      -256.0860,        58.2505,        -4.3963,        -1.0000,      -256.0860,     2
   37.000000,  -109.000000,      -759.2950,       126.7994,        -5.9882,        -1.0000,      -759.2950,     3
   37.000000,  -107.000000,       -30.9430,        70.0933,        -0.4415,         0.0000,         0.0000,     2
   41.000000,  -107.000000,      -159.9430,        97.9775,        -1.6324,         0.0000,         0.0000,     1
   45.000000,  -107.000000,        61.3850,       150.7322,         0.4072,         0.0000,         0.0000,     1
   51.000000,  -107.000000,       -10.8570,        57.1040,        -0.1901,         0.0000,         0.0000,     1
   37.000000,  -105.000000,       -12.6570,        69.6014,        -0.1818,         0.0000,         0.0000,     1
   39.000000,  -105.000000,       245.0860,       133.2956,         1.8387,         0.0000,         0.0000,     1
   41.000000,  -105.000000,        49.2430,       168.0887,         0.2930,         0.0000,         0.0000,     1
   55.000000,  -105.000000,         7.8860,        13.3501,         0.5907,         0.0000,         0.0000,     1
   41.000000,  -103.000000,      -515.8570,       410.9884,        -1.2552,         0.0000,         0.0000,     1
   49.000000,  -101.000000,       -95.9000,        54.3339,        -1.7650,         0.0000,         0.0000,     1
   57.000000,  -101.000000,      -354.2140,        84.4055,        -4.1966,        -1.0000,      -354.2140,     1
   61.000000,  -101.000000,       294.0710,        63.6212,         4.6222,         1.0000,       294.0710,     1
   63.000000,  -101.000000,       111.8710,       127.8586,         0.8750,         0.0000,         0.0000,     1
   39.000000,   -99.000000,      -520.5430,       241.3228,        -2.1570,        -1.0000,      -520.5430,     1
   47.000000,   -99.000000,      -256.2935,        36.8166,        -6.9614,        -1.0000,      -256.2935,     2
   49.000000,   -99.000000,      -209.0860,        29.6753,        -7.0458,        -1.0000,      -209.0860,     2
   51.000000,   -99.000000,       289.2710,        25.5462,        11.3234,         1.0000,       289.2710,     1
   53.000000,   -99.000000,        -9.4570,         8.0317,        -1.1775,         0.0000,         0.0000,     1
   45.000000,   -97.000000,      -136.0360,        36.3362,        -3.7438,        -1.0000,      -136.0360,     2
   47.000000,   -97.000000,      -125.2215,        34.2978,        -3.6510,        -1.0000,      -125.2215,     2
   43.000000,   -95.000000,      -299.3570,        68.9003,        -4.3448,        -1.0000,      -299.3570,     1
   47.000000,   -95.000000,       124.1226,        18.2926,         6.7854,         1.0000,       124.1226,    12
   51.000000,   -95.000000,       -19.1710,        35.5442,        -0.5394,         0.0000,         0.0000,     1
   73.000000,   -95.000000,         0.0355,         0.0331,         1.0741,         0.0000,         0.0000,     2
   43.000000,   -93.000000,        88.1344,       109.1190,         0.8077,         0.0000,         0.0000,     5
   45.000000,   -93.000000,       -36.1701,        19.3234,        -1.8718,         0.0000,         0.0000,    11
   47.000000,   -93.000000,       131.0390,        22.7655,         5.7560,         1.0000,       131.0390,     7
   49.000000,   -93.000000,       168.3500,        55.5135,         3.0326,         1.0000,       168.3500,     2
   37.000000,   -91.000000,        30.2140,       287.7629,         0.1050,         0.0000,         0.0000,     1
   43.000000,   -91.000000,      -395.2430,       100.6799,        -3.9257,        -1.0000,      -395.2430,     1
   45.000000,   -91.000000,       123.8380,        15.5200,         7.9793,         1.0000,       123.8380,     3
   49.000000,   -91.000000,       212.0190,        34.4433,         6.1556,         1.0000,       212.0190,     3
   51.000000,   -91.000000,      -381.3290,       122.2643,        -3.1189,        -1.0000,      -381.3290,     1
   37.000000,   -89.000000,       962.8290,       370.6422,         2.5977,         1.0000,       962.8290,     1
   41.000000,   -89.000000,      -109.8000,       147.4035,        -0.7449,         0.0000,         0.0000,     1
   43.000000,   -89.000000,        43.7779,        16.7611,         2.6119,         1.0000,        43.7779,     7
   47.000000,   -89.000000,       219.7000,        34.9266,         6.2903,         1.0000,       219.7000,     2
   49.000000,   -89.000000,       171.1953,        36.7596,         4.6572,         1.0000,       171.1953,     3
   31.000000,   -87.000000,       465.5860,       259.2912,         1.7956,         0.0000,         0.0000,     1
   41.000000,   -87.000000,         5.0473,        56.0984,         0.0900,         0.0000,         0.0000,     3
   45.000000,   -87.000000,        81.6523,        22.7360,         3.5913,         1.0000,        81.6523,     3
   47.000000,   -87.000000,       223.2645,        38.1344,         5.8547,         1.0000,       223.2645,     2
   31.000000,   -85.000000,      -358.6850,       295.1649,        -1.2152,         0.0000,         0.0000,     1
   37.000000,   -85.000000,      -222.8290,       187.2009,        -1.1903,         0.0000,         0.0000,     1
   41.000000,   -85.000000,       -95.1430,        28.7319,        -3.3114,        -1.0000,       -95.1430,     2
   43.000000,   -85.000000,       119.4785,        37.6894,         3.1701,         1.0000,       119.4785,     2
   45.000000,   -85.000000,       -18.4383,        19.6480,        -0.9384,         0.0000,         0.0000,     3
   47.000000,   -85.000000,       124.4602,        18.9120,         6.5810,         1.0000,       124.4602,     5
   49.000000,   -85.000000,        70.1000,        60.9366,         1.1504,         0.0000,         0.0000,     1
   53.000000,   -85.000000,       -17.8420,       101.1807,        -0.1763,         0.0000,         0.0000,     1
   55.000000,   -85.000000,      -115.9430,       107.9746,        -1.0738,         0.0000,         0.0000,     1
   31.000000,   -83.000000,      -595.9186,       131.7396,        -4.5235,        -1.0000,      -595.9186,     3
   41.000000,   -83.000000,        47.5713,        24.7264,         1.9239,         0.0000,         0.0000,     3
   43.000000,   -83.000000,       213.6570,        68.3692,         3.1250,         1.0000,       213.6570,     1
   27.000000,   -81.000000,      -407.5240,       116.6926,        -3.4923,        -1.0000,      -407.5240,     3
   29.000000,   -81.000000,       926.3000,        15.6594,        59.1530,         1.0000,       926.3000,     1
