lat, lon, mtwa_anm_mean, mtwa_se_mean, mtwa_tstat,mtwa_sig, mtwa_sig_val,mtwa_npts
   51.000000,  -117.000000,         0.9244,         0.4756,         1.9439,         0.0000,         0.0000,    14
   53.000000,  -117.000000,        -2.6709,         0.6715,        -3.9776,        -1.0000,        -2.6709,     8
   39.000000,  -115.000000,        -0.8400,         1.4162,        -0.5931,         0.0000,         0.0000,     2
   41.000000,  -115.000000,        -0.9100,         1.4162,        -0.6426,         0.0000,         0.0000,     2
   51.000000,  -115.000000,         4.1886,         0.8140,         5.1457,         1.0000,         4.1886,     5
   53.000000,  -115.000000,        -1.4860,         1.3754,        -1.0804,         0.0000,         0.0000,     1
   59.000000,  -115.000000,         0.5050,         0.7089,         0.7124,         0.0000,         0.0000,     5
   29.000000,  -113.000000,       -12.6000,         2.0028,        -6.2912,        -1.0000,       -12.6000,     1
   31.000000,  -113.000000,        -1.6050,         1.4162,        -1.1333,         0.0000,         0.0000,     2
   37.000000,  -113.000000,        -6.3562,         0.8153,        -7.7959,        -1.0000,        -6.3562,     5
   45.000000,  -113.000000,         0.8500,         1.4162,         0.6002,         0.0000,         0.0000,     2
   47.000000,  -113.000000,        -1.3570,         0.9704,        -1.3983,         0.0000,         0.0000,     3
   49.000000,  -113.000000,        -0.5825,         1.0014,        -0.5817,         0.0000,         0.0000,     4
   55.000000,  -113.000000,         0.5260,         0.6019,         0.8739,         0.0000,         0.0000,     5
   57.000000,  -113.000000,         0.3120,         0.6758,         0.4617,         0.0000,         0.0000,     6
   35.000000,  -111.000000,        -6.6327,         0.5388,       -12.3109,        -1.0000,        -6.6327,    13
   37.000000,  -111.000000,         0.1423,         0.6739,         0.2111,         0.0000,         0.0000,     8
   39.000000,  -111.000000,        -0.8677,         0.8826,        -0.9831,         0.0000,         0.0000,     4
   43.000000,  -111.000000,        -0.4514,         0.5820,        -0.7756,         0.0000,         0.0000,     8
   45.000000,  -111.000000,        -1.3412,         0.3566,        -3.7611,        -1.0000,        -1.3412,    25
   47.000000,  -111.000000,         0.4282,         0.8108,         0.5282,         0.0000,         0.0000,     5
   63.000000,  -111.000000,        -2.3008,         0.8070,        -2.8510,        -1.0000,        -2.3008,     5
   65.000000,  -111.000000,        -0.4201,         0.5753,        -0.7302,         0.0000,         0.0000,    10
   33.000000,  -109.000000,        -4.0667,         1.1563,        -3.5169,        -1.0000,        -4.0667,     3
   35.000000,  -109.000000,        -4.3400,         0.8957,        -4.8455,        -1.0000,        -4.3400,     5
   37.000000,  -109.000000,        -2.8272,         0.6343,        -4.4572,        -1.0000,        -2.8272,     9
   43.000000,  -109.000000,         0.0001,         1.0014,         0.0001,         0.0000,         0.0000,     4
   37.000000,  -107.000000,         0.5726,         0.5537,         1.0341,         0.0000,         0.0000,    11
   41.000000,  -107.000000,        -2.6776,         0.9741,        -2.7488,        -1.0000,        -2.6776,     3
   45.000000,  -107.000000,        -1.1691,         0.7150,        -1.6353,         0.0000,         0.0000,     7
   51.000000,  -107.000000,         0.5143,         0.6730,         0.7642,         0.0000,         0.0000,     6
   53.000000,  -107.000000,        -0.0140,         0.8287,        -0.0169,         0.0000,         0.0000,     5
   61.000000,  -107.000000,        -1.3700,         1.0172,        -1.3468,         0.0000,         0.0000,     2
   37.000000,  -105.000000,         0.3715,         0.8807,         0.4218,         0.0000,         0.0000,     4
   39.000000,  -105.000000,         0.6963,         0.9798,         0.7107,         0.0000,         0.0000,     3
   41.000000,  -105.000000,         0.0473,         1.0018,         0.0472,         0.0000,         0.0000,     3
   53.000000,  -105.000000,         1.7020,         0.8042,         2.1165,         1.0000,         1.7020,     5
   55.000000,  -105.000000,        -0.7453,         0.5838,        -1.2766,         0.0000,         0.0000,     7
   41.000000,  -103.000000,        -4.3023,         0.7135,        -6.0299,        -1.0000,        -4.3023,     6
   57.000000,  -103.000000,         0.1467,         0.7038,         0.2084,         0.0000,         0.0000,     3
   49.000000,  -101.000000,        -1.4200,         0.8046,        -1.7649,         0.0000,         0.0000,     5
   55.000000,  -101.000000,         0.8850,         1.0089,         0.8772,         0.0000,         0.0000,     2
   57.000000,  -101.000000,        -2.6427,         0.6797,        -3.8879,        -1.0000,        -2.6427,     6
   61.000000,  -101.000000,         0.8062,         0.8055,         1.0009,         0.0000,         0.0000,     5
   63.000000,  -101.000000,        -4.2280,         0.7099,        -5.9555,        -1.0000,        -4.2280,     6
   39.000000,   -99.000000,        -2.7258,         0.8129,        -3.3530,        -1.0000,        -2.7258,     5
   45.000000,   -99.000000,        -1.4000,         1.4162,        -0.9885,         0.0000,         0.0000,     2
   47.000000,   -99.000000,        -0.5696,         0.4968,        -1.1465,         0.0000,         0.0000,    14
   49.000000,   -99.000000,        -0.0713,         0.4540,        -0.1570,         0.0000,         0.0000,    14
   51.000000,   -99.000000,         2.1477,         0.5027,         4.2725,         1.0000,         2.1477,     9
   53.000000,   -99.000000,        -0.4405,         0.6703,        -0.6572,         0.0000,         0.0000,     6
   29.000000,   -97.000000,        -0.2350,         0.7081,        -0.3318,         0.0000,         0.0000,     8
   31.000000,   -97.000000,        -0.6743,         0.5163,        -1.3060,         0.0000,         0.0000,    14
   45.000000,   -97.000000,        -1.0322,         0.4750,        -2.1731,        -1.0000,        -1.0322,    12
   47.000000,   -97.000000,        -0.5860,         0.5771,        -1.0154,         0.0000,         0.0000,     7
   57.000000,   -97.000000,        -2.5600,         2.0028,        -1.2782,         0.0000,         0.0000,     1
   35.000000,   -95.000000,       -12.2000,         1.1563,       -10.5507,        -1.0000,       -12.2000,     3
   39.000000,   -95.000000,        -0.4625,         0.8724,        -0.5301,         0.0000,         0.0000,     4
   43.000000,   -95.000000,        -0.7112,         0.6721,        -1.0582,         0.0000,         0.0000,     6
   45.000000,   -95.000000,        -2.4333,         1.1563,        -2.1044,        -1.0000,        -2.4333,     3
   47.000000,   -95.000000,         0.4043,         0.2177,         1.8571,         0.0000,         0.0000,    62
   51.000000,   -95.000000,        -0.8812,         0.8025,        -1.0981,         0.0000,         0.0000,     5
   73.000000,   -95.000000,         0.6276,         0.5679,         1.1051,         0.0000,         0.0000,    10
   33.000000,   -93.000000,         0.0000,         1.1563,         0.0000,         0.0000,         0.0000,     3
   43.000000,   -93.000000,         0.0949,         0.3174,         0.2991,         0.0000,         0.0000,    28
