,lat,lon,ref
237,68,94,0.49188608
238,68,95,0.9641711
239,68,96,0.4672412
240,68,97,1.2245
241,68,98,1.2154206
242,68,99,1.0579159
243,68,101,1.1125358
244,68,102,0.7794677
245,68,106,1.1804351
246,68,113,1.25
247,68,120,0.8430317
248,68,140,0.8673
249,69,28,0.51464295
250,69,29,1.1563171
251,69,30,0.9937
252,69,33,1.0014
253,69,39,0.80459327
254,69,40,0.45402196
255,69,43,0.49118283
256,69,44,0.41304365
257,69,45,0.47644523
258,69,46,0.8721569
259,69,47,0.80637616
260,69,49,0.44072482
261,69,50,0.47717074
262,69,52,0.81799996
263,69,53,0.67144394
264,69,54,0.5783356
265,69,56,0.80496854
266,69,57,0.31830508
267,69,60,0.59359425
268,69,61,0.7101211
269,69,62,0.5693255
270,69,88,1.4153477
271,69,89,1.4759036
272,69,90,0.95210296
273,69,91,0.8707946
274,69,92,1.0471673
275,69,93,1.215345
276,69,94,1.4116048
277,69,95,1.4480016
278,69,96,1.2300514
279,69,97,0.42749244
280,69,98,0.8423166
281,69,99,0.6131906
282,69,100,0.564169
283,69,101,0.7096021
284,69,102,0.6458865
285,69,104,1.268134
286,69,105,0.93299127
287,69,108,1.199
288,69,114,1.4161934
289,69,127,1.3776
290,69,133,0.5867
291,69,134,0.33693454
292,69,135,0.15570323
293,69,139,0.52871615
294,69,141,1.0721881
295,70,26,0.237
296,70,29,0.58682394
297,70,31,0.47555256
298,70,32,0.81400144
299,70,36,0.6729967
300,70,40,0.5026703
301,70,42,0.80249393
302,70,43,0.36
303,70,44,0.68821365
304,70,56,0.5184462
305,70,61,0.615657
306,70,62,0.80307496
307,70,87,1.2315617
308,70,88,0.909011
309,70,89,2.0028
310,70,90,0.80869025
311,70,92,0.6994515
312,70,93,1.5329796
313,70,94,0.3571
314,70,95,0.87499
315,70,98,1.1563171
316,70,99,1.0041116
317,70,100,0.67600316
318,70,101,0.67083204
319,70,102,0.4004001
320,70,103,0.9165162
321,70,104,0.65849435
322,70,107,0.6975279
323,70,130,0.4337
324,70,137,0.5102
325,70,139,1.6327
326,70,140,2.1173
327,70,143,1.1603712
328,71,23,1.1563171
329,71,24,0.86870396
330,71,30,2.0028
331,71,31,0.6714869
332,71,32,1.3754
333,71,36,0.8286961
334,71,37,0.8041724
335,71,40,0.67026687
336,71,44,1.4161934
337,71,47,0.6777374
338,71,51,0.67923766
339,71,56,0.33597937
340,71,57,0.81763965
341,71,58,0.8685762
342,71,59,0.61889595
343,71,60,0.41119364
344,71,61,0.39620677
345,71,84,1.4161934
346,71,85,0.8201385
347,71,86,0.6396221
348,71,87,1.3761356
349,71,88,0.7961415
350,71,89,1.0492066
351,71,90,1.1115915
352,71,92,1.0250244
353,71,93,1.0088708
354,71,94,0.78428954
355,71,95,0.9598442
356,71,97,1.1563171
357,71,98,0.5582399
358,71,99,0.77227265
359,71,100,0.66454345
360,71,101,1.4572377
361,71,102,1.0766351
362,71,103,0.7720944
363,71,104,0.89563894
364,71,107,1.0014523
365,71,109,1.1941324
366,71,125,2.4235
367,71,139,2.0028
368,71,144,0.8119243
369,71,145,2.3214
370,72,24,1.1563171
371,72,30,0.2914
372,72,33,0.60187817
373,72,37,0.5837922
374,72,39,1.0088587
375,72,47,0.6851411
376,72,51,0.3727342
377,72,54,0.8091483
378,72,55,0.42865703
379,72,56,0.39527357
380,72,57,1.4161934
381,72,58,0.39281332
382,72,59,0.870309
383,72,61,0.8033637
384,72,85,2.0028
385,72,86,0.72184587
386,72,87,0.6396809
387,72,88,0.7512572
388,72,89,1.316489
389,72,94,1.1154737
390,72,95,1.0307201
391,72,96,0.6539589
392,72,97,0.96399134
393,72,98,0.854371
394,72,99,0.9022004
395,72,100,2.0028
396,72,101,1.466563
397,72,102,0.89393204
398,72,103,0.8765674
399,72,104,0.7585436
400,72,105,0.64274573
401,72,114,0.8695027
402,72,117,1.4161934
403,72,119,0.60715294
404,72,121,0.9184
405,72,128,0.5102
406,72,130,0.6962934
407,72,131,0.3571
408,72,145,2.0918
409,73,29,0.58157015
410,73,30,0.59082925
411,73,33,0.67582244
412,73,38,0.7037813
413,73,39,0.6797077
414,73,41,2.0028
415,73,51,0.8013646
416,73,52,0.46463904
417,73,54,1.1563171
418,73,57,0.4185321
419,73,58,0.4780987
420,73,59,0.8071064
421,73,86,2.0028
422,73,87,0.57065576
423,73,88,0.6733579
424,73,94,0.9085561
425,73,96,0.944807
426,73,97,0.5370039
427,73,98,1.581835
428,73,99,1.2526505
429,73,100,1.1070405
430,73,103,0.4439597
431,73,104,0.7950432
432,73,105,1.1016654
433,73,106,0.9951752
434,73,107,0.5483785
435,73,108,0.62425596
436,73,109,0.41005254
437,73,110,0.5337971
438,73,118,0.62741584
439,73,120,0.63230723
440,73,129,1.4031
441,73,131,1.5816
442,73,132,1.0806223
443,73,134,1.8622
444,73,152,1.6071
445,74,22,1.1563171
446,74,28,0.8866151
447,74,29,0.6199
448,74,32,0.7089131
449,74,53,0.7479009
450,74,54,1.1563171
451,74,58,0.5894373
452,74,67,1.0014812
453,74,86,0.99789506
454,74,87,0.7726872
455,74,88,0.9861778
456,74,92,1.0813507
457,74,93,0.7080967
458,74,94,1.1538206
459,74,95,0.76706904
460,74,96,0.8211005
461,74,97,0.76231694
462,74,98,1.0425406
463,74,101,0.57225883
464,74,102,0.32599914
465,74,103,0.34056512
466,74,104,0.8673
467,74,105,0.6402298
468,74,109,2.0028
469,74,124,0.60196775
470,74,128,1.7857
471,74,131,2.1939
472,74,132,0.8933286
473,74,136,1.5051
474,74,155,0.6378
475,75,15,0.89567935
476,75,24,0.89567935
477,75,25,0.89567935
478,75,28,1.0318205
479,75,36,1.0171932
480,75,39,0.8054639
481,75,55,0.5261605
482,75,67,0.9184
483,75,89,0.9825568
484,75,92,0.984135
485,75,94,0.7457283
486,75,95,1.4161934
487,75,96,1.5917252
488,75,101,1.0285813
489,75,102,0.4396164
490,75,103,0.76943064
491,75,104,0.59231526
492,75,105,0.44906768
493,75,106,0.45967805
494,75,107,0.58357126
495,75,108,1.2759963
496,75,109,0.70063233
497,75,124,0.8929
498,75,126,0.92733186
499,75,128,0.615372
500,75,129,0.6803456
501,75,133,0.6363987
502,75,134,1.8878
503,75,135,0.77848744
504,75,141,2.3469
505,75,154,0.87053484
506,76,8,0.89567935
507,76,13,0.548
508,76,14,0.70258796
509,76,17,0.44624934
510,76,25,0.7116869
511,76,28,0.6826
512,76,30,0.80386037
513,76,34,0.80701435
514,76,39,0.7099271
515,76,86,0.6994031
516,76,93,1.0675336
517,76,94,1.0014
518,76,95,0.8909254
519,76,96,0.70799613
520,76,97,0.5044571
521,76,98,0.8694936
522,76,99,0.7570919
523,76,100,2.0028
524,76,101,0.69986814
525,76,103,0.50959647
526,76,105,1.0589681
527,76,106,0.56424886
528,76,107,0.47022846
529,76,108,0.5648667
530,76,111,0.7429095
531,76,122,0.7383991
532,76,150,2.1173
533,76,151,1.9898
534,76,154,2.2194
535,77,6,0.89567935
536,77,14,0.6146602
537,77,16,0.89567935
538,77,17,0.7487593
539,77,20,0.74850225
540,77,22,0.70609087
541,77,25,0.89567935
542,77,26,0.4004378
543,77,34,0.57530195
544,77,71,0.051
545,77,79,0.7840862
546,77,80,1.0079588
547,77,95,0.871191
548,77,97,1.1606367
549,77,99,2.0028
550,77,103,0.82190734
551,77,104,0.81121194
552,77,105,0.54762584
553,77,106,0.5258844
554,77,107,2.0028
555,77,111,1.0204
556,77,121,1.4031
557,77,122,0.79299515
558,77,129,2.1939
559,77,150,1.5306
560,77,160,1.6071
561,78,9,0.49776998
562,78,11,0.47873265
563,78,12,0.34031492
564,78,13,0.435011
565,78,14,0.7062911
566,78,15,0.6506749
567,78,16,0.6145144
568,78,18,0.46360552
569,78,23,0.6200039
570,78,56,0.6695429
571,78,64,1.4161934
572,78,97,2.0028
573,78,100,0.9022004
574,78,102,0.5701779
575,78,104,0.66473424
576,78,105,0.59290254
577,78,106,2.0028
578,78,108,2.0028
579,78,116,1.0886815
580,78,123,2.3724
581,78,124,0.7906677
582,78,125,1.9388
583,78,129,2.0663
584,78,133,2.4235
585,79,9,0.70382994
586,79,11,0.7045037
587,79,16,0.70615894
588,79,17,0.70688206
589,79,20,0.6231845
590,79,23,0.35655558
591,79,96,1.0094175
592,79,97,2.0028
593,79,98,0.6973849
594,79,99,0.72074884
595,79,100,0.7080967
596,79,101,0.7645962
597,79,103,0.7378928
598,79,104,0.9284808
599,79,106,2.0028
600,79,107,0.68419904
601,79,108,1.2
602,79,123,0.4082
603,79,125,1.1204692
604,79,132,1.7347
605,79,133,1.277124
606,79,164,2.0663
607,80,28,2.0028
608,80,55,0.7511993
609,80,76,0.3061
610,80,77,1.0079588
611,80,78,1.0246102
612,80,103,1.0014
613,80,104,0.7228891
614,80,105,0.911503
615,80,123,0.6633
616,80,131,0.6888
617,80,139,1.8112
618,80,158,0.6633
619,80,168,0.3571
620,81,42,0.5679206
621,81,47,1.1563171
622,82,99,2.0028
623,84,97,2.0028
624,85,99,2.0028
