lat, lon, mtco_anm_mean, mtco_se_mean, mtco_tstat,mtco_sig, mtco_sig_val,mtco_npts
   53.000000,  -117.000000,        -7.0917,         1.3142,        -5.3961,        -1.0000,        -7.0917,     3
   39.000000,  -115.000000,         1.6450,         1.9426,         0.8468,         0.0000,         0.0000,     2
   41.000000,  -115.000000,         0.7700,         1.9426,         0.3964,         0.0000,         0.0000,     2
   51.000000,  -115.000000,        -2.2667,         1.3096,        -1.7307,         0.0000,         0.0000,     3
   53.000000,  -115.000000,       -12.5290,         3.0347,        -4.1286,        -1.0000,       -12.5290,     1
   59.000000,  -115.000000,         1.9340,         1.0932,         1.7690,         0.0000,         0.0000,     3
   29.000000,  -113.000000,       -11.3000,         2.7472,        -4.1133,        -1.0000,       -11.3000,     1
   31.000000,  -113.000000,        -2.7900,         1.9426,        -1.4362,         0.0000,         0.0000,     2
   37.000000,  -113.000000,        -6.7067,         1.3207,        -5.0782,        -1.0000,        -6.7067,     3
   45.000000,  -113.000000,         2.0750,         1.9426,         1.0682,         0.0000,         0.0000,     2
   47.000000,  -113.000000,         0.3710,         0.9521,         0.3897,         0.0000,         0.0000,     1
   49.000000,  -113.000000,        -1.8150,         1.9426,        -0.9343,         0.0000,         0.0000,     2
   55.000000,  -113.000000,         0.4820,         0.8634,         0.5583,         0.0000,         0.0000,     5
   57.000000,  -113.000000,         0.3448,         1.0086,         0.3418,         0.0000,         0.0000,     4
   35.000000,  -111.000000,       -11.0972,         1.0585,       -10.4838,        -1.0000,       -11.0972,     6
   37.000000,  -111.000000,        -0.0393,         0.9682,        -0.0406,         0.0000,         0.0000,     7
   39.000000,  -111.000000,        -0.1355,         1.4083,        -0.0962,         0.0000,         0.0000,     2
   43.000000,  -111.000000,        -0.3350,         0.8135,        -0.4118,         0.0000,         0.0000,     5
   45.000000,  -111.000000,        -0.6724,         0.5692,        -1.1812,         0.0000,         0.0000,    14
   47.000000,  -111.000000,        -3.6157,         1.3023,        -2.7763,        -1.0000,        -3.6157,     3
   63.000000,  -111.000000,         2.6770,         1.5200,         1.7611,         0.0000,         0.0000,     3
   65.000000,  -111.000000,         0.3500,         1.1322,         0.3091,         0.0000,         0.0000,     6
   29.000000,  -109.000000,        -4.0000,         1.9426,        -2.0591,        -1.0000,        -4.0000,     2
   37.000000,  -109.000000,        -1.4737,         1.3043,        -1.1299,         0.0000,         0.0000,     3
   37.000000,  -107.000000,        -0.1512,         0.9228,        -0.1638,         0.0000,         0.0000,     6
   41.000000,  -107.000000,        -0.0685,         1.4161,        -0.0484,         0.0000,         0.0000,     2
   45.000000,  -107.000000,        -1.2017,         1.1946,        -1.0060,         0.0000,         0.0000,     4
   51.000000,  -107.000000,        -0.5180,         0.9971,        -0.5195,         0.0000,         0.0000,     4
   53.000000,  -107.000000,        -1.7367,         1.4658,        -1.1848,         0.0000,         0.0000,     3
   61.000000,  -107.000000,         2.6550,         1.4927,         1.7787,         0.0000,         0.0000,     2
   37.000000,  -105.000000,         0.0645,         1.3801,         0.0467,         0.0000,         0.0000,     2
   39.000000,  -105.000000,        -2.0795,         1.4021,        -1.4831,         0.0000,         0.0000,     2
   41.000000,  -105.000000,        -0.1570,         1.3892,        -0.1130,         0.0000,         0.0000,     2
   53.000000,  -105.000000,         2.2800,         1.3109,         1.7393,         0.0000,         0.0000,     3
   55.000000,  -105.000000,        -1.6620,         0.8563,        -1.9410,         0.0000,         0.0000,     5
   41.000000,  -103.000000,        -7.5527,         1.1869,        -6.3634,        -1.0000,        -7.5527,     4
   57.000000,  -103.000000,        -2.2867,         0.9579,        -2.3871,        -1.0000,        -2.2867,     3
   49.000000,  -101.000000,         1.6477,         1.3023,         1.2652,         0.0000,         0.0000,     3
   55.000000,  -101.000000,         2.2300,         1.4131,         1.5781,         0.0000,         0.0000,     2
   57.000000,  -101.000000,        -3.7982,         1.0139,        -3.7462,        -1.0000,        -3.7982,     4
   61.000000,  -101.000000,         4.3710,         1.5689,         2.7861,         1.0000,         4.3710,     3
   63.000000,  -101.000000,         5.1648,         1.2672,         4.0757,         1.0000,         5.1648,     4
   39.000000,   -99.000000,        -0.7857,         1.4962,        -0.5251,         0.0000,         0.0000,     3
   47.000000,   -99.000000,         0.4381,         0.8443,         0.5189,         0.0000,         0.0000,     8
