lat, lon, alpha_anm_mean, alpha_se_mean, alpha_tstat,alpha_sig, alpha_sig_val,alpha_npts
   67.000000,    25.000000,        -0.0115,         0.0260,        -0.4397,         0.0000,         0.0000,     8
  -11.000000,    27.000000,         0.0420,         0.0298,         1.4094,         0.0000,         0.0000,     1
   19.000000,    27.000000,         0.4105,         0.0464,         8.8429,         1.0000,         0.4105,     2
   43.000000,    27.000000,         0.1804,         0.0412,         4.3824,         1.0000,         0.1804,     3
   45.000000,    27.000000,         0.0418,         0.0347,         1.2040,         0.0000,         0.0000,     3
   51.000000,    27.000000,         0.0230,         0.0587,         0.3916,         0.0000,         0.0000,     2
   53.000000,    27.000000,        -0.0075,         0.0580,        -0.1293,         0.0000,         0.0000,     2
   55.000000,    27.000000,         0.0660,         0.0592,         1.1149,         0.0000,         0.0000,     1
   57.000000,    27.000000,         0.0332,         0.0222,         1.4954,         0.0000,         0.0000,     9
   59.000000,    27.000000,         0.0353,         0.0145,         2.4363,         1.0000,         0.0353,    17
   61.000000,    27.000000,        -0.0333,         0.0309,        -1.0763,         0.0000,         0.0000,     4
   63.000000,    27.000000,        -0.0274,         0.0194,        -1.4133,         0.0000,         0.0000,     9
   65.000000,    27.000000,         0.0207,         0.0355,         0.5829,         0.0000,         0.0000,     3
   69.000000,    27.000000,         0.0066,         0.0267,         0.2458,         0.0000,         0.0000,     5
  -29.000000,    29.000000,         0.0070,         0.0334,         0.2096,         0.0000,         0.0000,     1
  -25.000000,    29.000000,         0.0867,         0.0230,         3.7696,         1.0000,         0.0867,     3
   -5.000000,    29.000000,         0.0247,         0.0288,         0.8574,         0.0000,         0.0000,     9
   -3.000000,    29.000000,         0.0883,         0.0122,         7.2658,         1.0000,         0.0883,    26
   -1.000000,    29.000000,        -0.0585,         0.0382,        -1.5296,         0.0000,         0.0000,     3
    1.000000,    29.000000,        -0.2115,         0.0573,        -3.6884,        -1.0000,        -0.2115,     2
   21.000000,    29.000000,         0.0920,         0.0566,         1.6254,         0.0000,         0.0000,     1
   37.000000,    29.000000,         0.3700,         0.0713,         5.1893,         1.0000,         0.3700,     1
   43.000000,    29.000000,         0.1841,         0.0374,         4.9177,         1.0000,         0.1841,     3
   49.000000,    29.000000,        -0.0204,         0.0516,        -0.3961,         0.0000,         0.0000,     2
   51.000000,    29.000000,         0.0253,         0.0454,         0.5583,         0.0000,         0.0000,     3
   53.000000,    29.000000,         0.0630,         0.0501,         1.2584,         0.0000,         0.0000,     2
   55.000000,    29.000000,         0.0800,         0.0444,         1.8029,         0.0000,         0.0000,     2
   57.000000,    29.000000,         0.0428,         0.0360,         1.1874,         0.0000,         0.0000,     3
   59.000000,    29.000000,         0.0060,         0.0829,         0.0724,         0.0000,         0.0000,     1
   61.000000,    29.000000,        -0.0671,         0.0257,        -2.6120,        -1.0000,        -0.0671,     6
   65.000000,    29.000000,        -0.0081,         0.0387,        -0.2094,         0.0000,         0.0000,     3
