,lat,lon,templ,temp,temph,ACCESS-ESM1-5,AWI-ESM-1-1-LR,CESM2,CNRM-CM6-1,EC-Earth3-LR,FGOALS-f3-L,FGOALS-g3,GISS-E2-1-G,HadGEM3-GC31-LL,INM-CM4-8,IPSL-CM6A-LR,MIROC-ES2L,MPI-ESM1-2-LR,NESM3,NorESM1-F,NorESM2-LM
37,-23,166.13,1.801152899,3.483207755,5.438786157,-0.220842645,0.202874258,-0.194516763,0.461853921,0.195857242,-0.340023786,0.152177617,-0.067229189,0.461308151,0.179031,-0.127966523,-0.025257226,0.589653671,0.829531848,-0.036717519,-0.138425663
38,-40.38,177.98,5.221238118,7.018419479,8.537808737,-0.305448383,0.177154064,-0.110030606,0.600855887,0.277424902,-0.218428254,0.430418849,0.08373256,0.346117586,0.085113883,-0.085300624,-0.012991978,0.371083796,0.711695969,-0.037300635,-0.13008149
39,-41.79,-171.5,0.802912587,4.847869827,9.020607021,0.226897702,0.324670523,0.260111183,0.756873071,0.383464336,0.154236391,0.570444524,0.124453396,0.528952301,-0.063994542,0.169889271,0.01435451,0.596627474,0.887684643,0.323897988,0.336293161
40,-45.15,146.29,-1.073069381,3.236855002,7.500449041,-0.154455855,0.749671102,0.285490692,0.35857287,-0.280379862,-0.444611907,0.77041471,-0.206314147,0.186516017,0.022313232,-0.088210113,0.171224982,0.674002707,0.887033522,-0.028534684,0.27373594
41,-45.5,174.95,-2.839514528,0.461430935,3.966048713,-0.203702062,0.219977215,-0.172922581,0.432415903,-0.145280883,-0.08530207,0.684979737,-0.036411475,0.331874728,-0.222982198,0.048595838,0.384052575,0.066514552,0.422467858,-0.220291436,-0.225077093
42,-45.52,174.93,6.07464847,7.729878043,10.3698733,-0.203702062,0.219977215,-0.172922581,0.432415903,-0.145280883,-0.08530207,0.684979737,-0.036411475,0.331874728,-0.222982198,0.048595838,0.384052575,0.066514552,0.422467858,-0.220291436,-0.225077093
43,-48.24,177.34,-0.232915076,3.983065036,8.355028369,0.08725863,0.246590108,0.038933706,0.390245676,-0.177316114,-0.003705288,0.872690916,-0.020218432,0.406502247,-0.31818682,0.206505179,0.488456577,0.054911833,0.336508155,0.03050863,0.194627285
44,-48.5,149.11,-2.680002691,1.934930261,5.975479069,0.222267687,0.444110841,0.483628899,0.480910867,-0.144503459,-0.077212319,0.86914587,-0.112503141,0.257637054,0.105890632,0.077242799,0.334121674,0.519692302,0.563106418,0.079231367,0.40675211
45,-50.63,169.38,-6.033093238,-1.354079795,3.585483514,0.330979526,0.253567308,0.418256581,0.437303454,-0.024396842,0.015381061,0.831982732,0.010390145,0.413950115,-0.027777631,0.266865551,0.482166797,0.457300842,0.446900159,0.259960413,0.397373348
46,43.25,-126.38,-8.348420378,-3.004333076,1.127914604,1.119315743,-0.688337505,-0.382157832,0.768637657,0.468002677,-0.393865824,0.458547801,0.288806707,0.772970736,-0.211345881,0.0328415,0.023951732,-0.015288753,0.361569852,-0.080065452,0.205647931
47,1.02,160.48,-2.689669378,-0.405924653,2.017902576,-0.17243506,-0.51880461,-0.417050779,0.128000379,-0.081403658,-0.314539999,-0.115420341,-0.396815836,-0.054972351,-0.34946987,-0.473415047,-0.611129999,-0.813833654,0.121004865,-0.353184611,-0.316918761
48,-16.45,-77.57,-3.744545195,1.058035115,5.307665092,-0.387374192,-0.366211265,-0.156328753,-0.138842553,-0.842850506,-0.384763241,0.07092353,-0.395984739,-0.000279207,-0.339744389,-0.815763593,-0.716624379,-0.784377813,-0.514088094,-0.245716423,-0.453619599
49,-40.62,-77.2,-6.899565137,-3.747790888,-0.844859632,-0.213962629,-0.350676954,0.011683846,0.022376195,-0.178066343,-0.354314566,0.150650352,-0.455669761,0.126092359,-0.508934855,-0.261171609,-0.400762647,-0.455607831,0.133292675,-0.263619453,-0.154598996
50,-5.94,103.25,-2.341922333,-0.526944833,1.558864259,-0.325587779,-0.242492676,-0.30578658,0.096868157,-0.278397828,-0.627132118,-0.123860814,-0.35516566,-0.04162284,-0.188211516,-0.635963023,-0.654962361,-0.404652208,-0.374329925,-0.377093136,-0.301995963
51,-5.94,103.25,-2.386827565,-0.87447463,0.664018509,-0.325587779,-0.242492676,-0.30578658,0.096868157,-0.278397828,-0.627132118,-0.123860814,-0.35516566,-0.04162284,-0.188211516,-0.635963023,-0.654962361,-0.404652208,-0.374329925,-0.377093136,-0.301995963
