,Unnamed: 0,AWI-ESM-1-1-LR,CESM2,EC-Earth3-LR,FGOALS-f3-L,FGOALS-g3,GISS-E2-1-G,HadGEM3-GC31,INM-CM4-8,IPSL-CM6A-LR,MIROC-ES2L,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM1-F,NorESM2-LM,UofT-CCSM-4,average
0,0,6.180717552600282,7.122926246150443,2.498954469636437,4.528486488353743,10.412485822292187,12.960147237220935,15.866145460454295,16.602175715028547,6.957332521277231,10.330397832040006,11.78151408226939,13.263549066749807,12.213416715086534,5.959986983162266,5.592616790294096,4.068388128410948,9.146202569439197
1,1,1.6789041435231282,3.4252233188385315,1.6809017236687738,4.762172558804765,0.30415994794703904,-3.4228245843866607,5.375065936539071,-1.6970506703127086,1.2518326625968323,2.0006928704663847,3.0954068893075384,1.7558404950184645,2.0052957377507226,3.5162051063909483,6.991829603459759,2.5274924284428466,2.203196760503465
2,2,1.2725670799772253,-3.178346737218434,-4.951910945108696,-3.310641855915692,2.902970322331344,0.8547197030139078,-5.359002223170159,1.237062501465638,-6.519257557040866,-5.269262476738495,2.570196500326467,-2.8504724543516025,0.920092924258942,-2.7135920242036304,-2.1694880689654856,-5.5915624911605715,-2.0097454876562573
3,3,10.584438152219102,-0.5453850107343323,2.2982977592592184,1.3716989803069903,11.458087939135625,-0.3126484249396266,-0.7034580518749536,-4.442229909545112,-1.0125598700663558,-2.2187117404044665,7.925440639350348,2.9261082486188115,4.230620108108913,3.763297533407868,0.015616365556307254,1.0972572433544738,2.2772418726095505
4,4,-5.36467545340499,-6.036818133715601,-1.1589100835580413,-2.02718976607354,-4.630293339509337,-0.5935318514211712,-3.7578653141315614,-5.953195889119903,-2.461757979792473,-4.507888612884023,-1.904360953852539,-4.0873922099223545,-2.2944987891184287,-4.469680039545598,-6.024523861396568,-4.144488618383233,-3.7135669309893355
5,5,-3.5529352742528597,-5.71079017286149,-4.57573113940047,-3.6493881314999403,-3.02056723063475,-4.0404669601624486,-4.481594618805033,-5.680903202320733,-5.061695365156967,-4.5633841824555255,-7.138400909694767,-6.210053534760357,-7.680644066109313,-7.605062838571287,-5.008217963777836,-3.5399387062281007,-5.094985893543242
6,6,-0.9911529232738496,-1.3400965356027092,1.3198573166843552,-3.0284074583897493,-11.898531347110106,-5.633584379886732,-6.186073333663279,-11.941443454507947,-2.450646220385321,-0.944188850243164,-0.7392048306879403,2.742832757118705,-4.322173350225769,-1.5072381877973533,-1.3380497020509303,-0.6527780427820143,-3.056929908925238
