,lat,lon,anom,err
0,67.05,-50.47,-3.381599999999999,3.0
1,33.96,-119.98,0.02616666666666667,3.0
2,55.83,13.42,2.5432063492333334,3.0
3,57.32,-3.9,-4.332380952666667,3.0
4,46.45,8.52,2.1511428573142855,3.0
5,43.12,-4.02,,3.0
6,46.77,17.17,-4.173547619183333,3.0
7,48.01,6.99,1.8641428569,3.0
8,64.65,-128.08,2.8266,3.0
9,45.54,-73.31,-0.19506666666666916,3.0
10,57.12,-76.38,0.19896428571428615,3.0
11,55.01,-73.52,-0.6432500000000019,3.0
12,49.42,-0.03,0.4892857137500002,3.0
13,73.53,-120.22,5.154208333333333,3.0
14,47.19,-1.86,1.5127857140333334,3.0
15,46.4,-78.92,0.11264285714285904,3.0
16,45.8,-122.49,1.7096041666666668,3.0
17,54.74,-101.68,0.9460000000000006,3.0
18,54.09,24.12,-0.04242857140000034,3.0
19,37.47,-108.16,-0.8094750000000008,3.0
20,42.5,-73.32,0.35233333333333317,3.0
21,46.27,-94.55,-2.2444916666666703,3.0
22,52.78,17.73,-0.33005291012963056,3.0
23,52.55,20.67,0.40684523820000074,3.0
24,42.08,-71.96,0.46258503414285723,3.0
25,46.26,7.84,-1.412857143,3.0
26,55.58,-119.43,0.8142500000000013,3.0
27,55.33,-63.2,-3.646,3.0
28,45.57,-70.68,0.6628571428571455,3.0
29,47.93,8.07,3.657857142642857,3.0
30,47.0,11.14,1.086836734732143,3.0
31,61.4639,-58.0365,-0.5023333333333322,1.2
32,49.68,-74.58,2.294523809523813,3.0
33,46.67,-88.02,1.099285714285715,3.0
34,61.68,-130.65,0.768375,3.0
35,48.2,-64.94,0.4001666666666637,3.0
36,55.67,-63.25,-0.8955000000000002,3.0
37,45.92,-120.88,3.5476666666666667,3.0
38,37.65,-107.81,-0.5457214285714294,3.0
39,46.61,-73.0,1.9535,3.0
40,44.15,7.24,2.7542857141333332,3.0
41,43.13,-93.43,-2.8315,3.0
42,41.64,-86.54,-0.014333333333333087,3.0
43,33.8,-78.95,0.9475666666666651,3.0
44,53.9,-66.77,3.2104999999999997,3.0
45,50.03,-56.2,0.7520000000000024,3.0
46,38.87,-107.08,-0.03700000000000081,3.0
47,67.83,-115.32,,3.0
48,44.84,-99.91,4.7166999999999994,3.0
49,38.83,-106.41,1.4396666666666675,3.0
50,44.1,-78.1,0.09826666666666739,3.0
51,69.17,20.72,0.3078809523809536,3.0
52,54.7,18.17,1.6347619048333335,3.0
53,42.14,-73.41,-1.6082857142857143,3.0
54,43.23,-80.37,-0.21410000000000018,3.0
55,54.42,-69.92,-0.7569999999999979,3.0
56,54.42,-69.93,-0.8792499999999954,3.0
57,43.48,-85.0,2.746383333333334,3.0
58,43.42,-89.73,0.5478000000000005,3.0
59,75.35,-82.5,0.7742733333333298,3.0
60,68.13,13.58,-9.413601189979167,3.0
61,41.93,-70.0,-0.38037499999999813,3.0
62,46.64,11.46,1.9974761903666667,3.0
63,43.67,28.55,-3.9859999996,3.0
64,56.28,-75.1,-0.14283333333333204,3.0
65,56.02,-74.95,-0.012349999999997863,3.0
66,50.69,-99.66,0.7832499999999989,3.0
67,39.94,-105.58,1.443085714285715,3.0
68,61.1667,-100.9167,-2.492916666666668,3.0
69,61.24,-100.95,,3.0
70,46.31,7.48,1.0442857144333328,3.0
71,34.41,-95.81,-0.8397916666666667,3.0
72,58.58,13.67,1.7254285713999984,3.0
73,49.28,-0.45,,3.0
74,55.11,-75.25,0.05246666666666755,3.0
75,56.1,-75.28,-0.06612499999999955,3.0
76,75.0,14.0,-1.117666666666667,1.5
77,44.05,-87.73,0.7236666666666665,3.0
78,31.652,34.0667,-1.1014472499819021,1.5
79,52.32,17.36,5.481642857075,3.0
80,47.47,12.36,-0.05750000024999968,3.0
81,48.43,8.25,2.7208571427583332,3.0
82,54.09,18.55,1.1599841269000002,3.0
83,46.21,8.11,3.0445306124000004,3.0
84,52.58,19.35,4.331259259138889,3.0
85,44.98,-69.32,0.1907500000000013,3.0
86,46.2,7.85,0.7781904764000007,3.0
87,45.18,-77.35,-0.8019833333333324,3.0
88,47.37,-2.25,,3.0
89,55.03,-62.63,-1.800514285714284,3.0
90,43.64,-79.47,,3.0
91,50.77,-55.52,19.04083333333333,3.0
92,71.04,28.17,-1.2925000000000002,3.0
93,60.11,-6.07,-1.271,1.2
94,46.79,7.83,0.05142857122857203,3.0
95,60.03,-129.02,-5.495533333333333,3.0
96,43.24,-80.41,-0.3691428571428572,3.0
97,68.38,-138.38,0.905899999999999,3.0
98,52.93,-66.95,2.2714999999999996,3.0
99,49.68,-1.28,-0.19908163283333336,3.0
100,47.32,-53.13,-0.6570000000000018,3.0
101,44.52,-76.6,-1.0326500000000003,3.0
102,46.72,8.07,1.7714761903,3.0
103,60.6519,14.9264,4.157128777777777,3.0
104,50.1167,6.8833,-1.7608494006000002,3.0
105,64.63,-138.4,1.0423611110625,3.0
106,52.45,-56.43,-2.9383000000000017,3.0
107,49.13,117.5,0.8720000000000034,3.0
108,43.64,-79.48,,3.0
109,43.64,-79.49,,3.0
110,66.14,-66.08,3.5638253968254006,3.0
111,50.92,-90.45,,3.0
112,47.14,-93.64,0.6972000000000005,3.0
113,60.22,22.13,,3.0
114,66.5996,-17.5766,-0.2871623656537903,1.5
115,60.73,24.22,,3.0
116,57.63,14.53,4.8978571432499995,3.0
117,46.52,32.62,-2.560642857250001,3.0
118,58.38,22.2,3.0771768709904768,3.0
119,64.17,-127.62,0.31433333333333024,3.0
120,49.82,-102.3,2.868599999999999,3.0
121,38.87,-107.03,-2.933,3.0
122,61.8211,16.4044,7.086731666666665,3.0
123,36.88,28.64,,3.0
124,57.92,-75.62,-0.06933333333332925,3.0
125,58.58,-75.25,3.4,3.0
126,58.583,-75.25,0.6864999999999988,3.0
127,58.58,-75.25,0.18175000000000097,3.0
128,46.72,-70.3,1.4389000000000003,3.0
129,58.87,-71.72,,3.0
130,52.25,-67.07,7.682000000000002,3.0
131,49.21,-65.81,8.432250000000003,3.0
132,56.78,-64.83,-1.6768666666666654,3.0
133,65.22,-126.12,3.717249999999998,3.0
134,56.67,-64.68,-0.4427142857142847,3.0
135,50.55,-66.27,-0.48566666666666514,3.0
136,41.42,-84.75,0.3067619047619061,3.0
137,42.9888,10.8972,,3.0
138,-41.0583,-71.5167,,3.0
139,43.05,-6.15,1.8907142858125,3.0
140,41.23,-0.17,-4.251534013361904,3.0
141,61.4833,26.0833,3.783457333333331,3.0
142,48.44,-0.19,1.6069047616666667,3.0
143,45.47,5.42,-1.1880952383055556,3.0
144,52.56,17.39,5.442410714214286,3.0
145,52.56,17.39,5.388748299145238,3.0
146,59.22,27.58,-1.173809524666666,3.0
147,59.2,-135.4,0.0,3.0
148,48.93,-1.54,,3.0
149,44.17,-123.58,0.6859999999999999,3.0
150,47.29,-93.6,0.7476666666666674,3.0
151,58.13,-6.88,-1.67407142855,3.0
152,42.68,-72.19,0.7819591833371415,3.0
153,47.03,7.3,-1.216857142811111,3.0
154,56.72,-119.72,-0.13333333333333286,3.0
155,45.03,-68.2,1.0597999999999992,3.0
156,46.72,-87.97,1.0085833333333323,3.0
157,52.95,-131.76,0.2626666666666666,3.0
158,43.73,40.69,0.39047619066666606,3.0
159,56.84,-101.04,-7.721571428571427,3.0
160,12.0897,-61.2437,0.3833333333333364,1.3
161,-18.2412,37.8685,0.00833333333333286,1.9
162,-3.9502,-81.3205,,1.9
163,-46.0667,-75.6833,-0.3666546946801619,3.0
164,-41.7111,-72.7781,1.9506394610846822,3.0
165,-20.4,36.3,,1.4
166,47.452,-8.5338,,1.2
167,58.7623,-25.959,0.2273214347604302,1.5
168,36.1433,-2.6212,0.475234231391898,1.5
169,66.6413,-20.8632,0.4498057312945143,1.5
170,68.27,-133.47,-0.5020714285714281,3.0
171,68.4719,-54.002,0.46055555555555555,1.2
172,41.7,23.03,-1.2385714285,3.0
173,45.04,-68.73,0.1246031749416634,3.0
174,44.2,-79.51,,3.0
175,50.1,6.75,-1.125523073221551,3.0
176,43.1,-89.42,-2.2882500000000006,3.0
177,48.25,-3.5,,3.0
178,58.4,27.23,-3.9661564625952375,3.0
179,46.28,7.84,-4.262612245057142,3.0
180,41.82,-73.29,0.7860000000000005,3.0
181,43.77,-69.3,-0.2926666666666691,3.0
182,46.86,-98.16,0.5632000000000001,3.0
183,47.0,11.76,2.3846428574999994,3.0
184,50.14,11.88,-3.4835714286000004,3.0
185,52.27,-58.05,-6.28655,3.0
186,47.98,-93.39,2.1119166666666676,3.0
187,55.5,-14.5833,0.8000000000000007,1.4
188,57.65,-71.65,,3.0
189,42.65,-73.05,-0.3143333333333338,3.0
190,47.62,8.82,4.201190476083333,3.0
191,45.22,-79.45,-1.1118124999999992,3.0
192,51.7,23.96,1.3204761903333333,3.0
193,44.16,10.78,3.4563095238888892,3.0
194,53.79,17.6,-0.089499999800001,3.0
195,43.677,-2.228,-0.03357142857142925,1.4
196,50.91,0.68,0.9015714284857144,3.0
197,43.47,-109.96,,3.0
198,51.65,-100.9,11.192888888888895,3.0
199,46.03,-77.34,0.18897916666666603,3.0
200,48.6,-124.2,-0.9000555555555556,3.0
201,45.04,-93.63,-0.25772222222222396,3.0
202,47.08,-64.8,2.7196190476190463,3.0
203,44.03,-70.35,0.048129166666667444,3.0
