,lat,lon,anom
180,44.5,7.5,3.126761904
181,44.5,10.5,3.133214285
182,44.5,-123.5,0.27825
183,44.5,-76.5,-0.226479798
184,44.5,145.5,-0.7570649709999999
185,44.5,-93.5,0.541547618
186,44.5,-99.5,2.3946
187,44.5,-69.5,0.16425
188,45.5,-68.5,0.6709999999999999
189,45.5,-93.5,0.08569444400000001
190,45.5,-68.5,0.74825036
191,45.5,-77.5,-0.144956061
192,45.5,-79.5,-0.124652778
193,45.5,5.5,-0.46143991
194,45.5,-73.5,0.41866666700000005
195,45.5,-70.5,0.9005
196,45.5,-122.5,1.288541667
197,45.5,-120.5,2.0903333330000002
198,45.5,-73.5,0.284
199,45.5,-73.5,-0.10099999999999999
200,46.5,-77.5,0.768416667
201,46.5,7.5,3.345857142
202,46.5,-95.5,-1.3525
203,46.5,8.5,4.250410715
204,46.5,7.5,0.266499999
205,46.5,-94.5,-0.9084
206,46.5,7.5,-0.129489795
207,46.5,7.5,2.707056278
208,46.5,-78.5,0.603285714
209,46.5,8.5,2.522612246
210,46.5,32.5,-3.84386905
211,46.5,8.5,-0.218
212,46.5,6.5,0.978743198
213,46.5,-73.5,1.2913
214,46.5,11.5,2.545714286
215,46.5,-88.5,1.189642857
216,46.5,7.5,0.32511363600000004
217,46.5,7.5,2.007099545
218,46.5,-87.5,1.266333333
219,46.5,-70.5,1.2883
220,46.5,8.5,1.7797346930000002
221,46.5,17.5,-4.339095239
222,46.5,7.5,0.395000001
223,46.5,7.5,0.18285714399999997
224,46.5,-98.5,0.29436363600000004
225,46.5,10.5,0.531250001
226,46.5,-70.5,-0.1235
227,46.5,-94.5,2.701746032
228,47.5,11.5,2.225267856
229,47.5,11.5,3.054285715
230,47.5,7.5,-1.198158729
231,47.5,11.5,-0.8262301590000001
232,47.5,-64.5,2.2605565480000003
233,47.5,-93.5,1.1546
234,47.5,-1.5,0.944577922
235,47.5,-2.5,2.010642859
236,47.5,-1.5,1.524433981
237,47.5,-93.5,1.002666667
238,47.5,-53.5,-0.5670000000000001
239,47.5,12.5,-0.10660714199999999
240,47.5,7.5,0.244724747
241,47.5,8.5,3.200357143
242,47.5,8.5,3.076875
243,47.5,-93.5,1.7923333330000002
244,48.5,6.5,0.888333333
245,48.5,-64.5,0.9009999999999999
246,48.5,8.5,2.497556819
247,48.5,-0.5,1.713333335
248,48.5,8.5,1.5649547209999999
249,48.5,-124.5,-0.577333333
250,49.5,117.5,0.4265
251,49.5,-65.5,8.35025
252,49.5,-0.5,1.2177857159999999
253,49.5,19.5,-2.633507654
254,49.5,21.5,1.427724489
255,49.5,-74.5,0.356571429
256,49.5,-1.5,-0.06875000099999999
257,49.5,21.5,3.860714285
258,49.5,25.5,0.2
259,49.5,-102.5,2.6508
260,50.5,-56.5,1.336666667
261,50.5,6.5,-0.203889412
262,50.5,6.5,-0.599443772
263,50.5,11.5,-2.380292208
264,50.5,-66.5,0.447166667
265,50.5,16.5,-3.1467857169999998
266,50.5,-99.5,1.4905
267,50.5,-55.5,14.34184821
268,50.5,0.5,1.35916512
269,51.5,-100.5,7.479722222
270,51.5,23.5,1.141428572
271,52.5,-67.5,3.15025
272,52.5,-58.5,-1.6452
273,52.5,17.5,4.345214286
274,52.5,-56.5,-1.242166667
275,52.5,17.5,3.616818183
276,52.5,17.5,4.889126984
277,52.5,20.5,0.397699134
278,52.5,17.5,3.5389538689999998
279,52.5,19.5,3.6163576230000003
280,52.5,17.5,0.109295163
281,52.5,-66.5,0.72725
282,52.5,-131.5,0.08800000000000001
283,53.5,8.5,-2.58925
284,53.5,8.5,-0.640079365
285,53.5,20.5,3.477559522
286,53.5,17.5,-0.501467532
287,53.5,36.5,1.246583333
288,53.5,-66.5,1.63175
289,54.5,28.5,1.138928573
290,54.5,18.5,0.45825396700000004
291,54.5,24.5,1.0715
292,54.5,-69.5,-1.455030303
293,54.5,-69.5,-2.76
294,54.5,-56.5,0.194657548
295,54.5,18.5,1.669880952
296,54.5,-101.5,1.301633333
297,54.5,-6.5,-0.60406746
298,54.5,-56.5,0.9889158709999999
299,55.5,-73.5,-0.41975
300,55.5,-62.5,-0.24369047600000002
301,55.5,-75.5,-0.2064
302,55.5,-26.5,2.3652090759999997
303,55.5,-63.5,-1.4869999999999999
304,55.5,-14.5,1.025
305,55.5,-119.5,1.101
306,55.5,-63.5,-0.597
307,55.5,13.5,0.344928571
308,56.5,-74.5,-0.105925
309,56.5,-75.5,-0.0895
310,56.5,-31.5,2.4334541869999997
311,56.5,-27.5,0.94578825
312,56.5,-75.5,-0.10400000000000001
313,56.5,32.5,1.867666667
314,56.5,-64.5,-0.408857143
315,56.5,-119.5,-1.052333333
316,56.5,-64.5,-0.293
317,56.5,-101.5,-4.88675
318,57.5,-76.5,-0.310757143
319,57.5,-3.5,-2.5564285719999997
320,57.5,-27.5,-2.175873788
321,57.5,14.5,3.051726191
322,57.5,8.5,2.290789528
323,57.5,-75.5,-0.071285714
324,58.5,-6.5,-0.750392857
325,58.5,-48.5,-0.55345
326,58.5,-71.5,-0.49
327,58.5,22.5,2.356843537
328,58.5,27.5,-1.599183675
329,58.5,11.5,1.6489
330,58.5,13.5,1.936318182
331,58.5,-75.5,0.29933333300000003
332,58.5,13.5,0.757675324
333,58.5,26.5,2.8781111110000004
334,58.5,26.5,2.522928571
335,59.5,24.5,3.8845
336,59.5,27.5,-0.012925171000000001
337,59.5,-144.5,-0.6453036120000001
338,59.5,6.5,1.832821429
339,59.5,16.5,2.493688889
340,60.5,15.5,1.121159091
341,60.5,-6.5,-1.239772727
342,60.5,24.5,2.82675
343,61.5,-100.5,-1.475214286
344,61.5,-24.5,0.7837830490000001
345,61.5,-58.5,-0.309857143
346,61.5,26.5,1.5922590909999998
347,61.5,-20.5,-0.400535714
348,61.5,-130.5,0.6053125
349,61.5,24.5,2.179028788
350,61.5,16.5,2.72565
351,62.5,-17.5,-0.747240307
352,62.5,22.5,2.9368095239999996
353,62.5,0.5,-3.087777778
354,63.5,5.5,0.287099441
355,64.5,-110.5,0.1865
356,64.5,-127.5,0.498
357,64.5,-24.5,1.551805556
358,64.5,-138.5,0.670509259
359,64.5,-128.5,2.3599
360,65.5,-127.5,2.2132166669999997
361,65.5,-43.5,1.214583333
362,65.5,-126.5,2.07
363,66.5,-66.5,1.8802698409999998
364,66.5,29.5,-2.101309524
365,66.5,-23.5,2.02109072
366,66.5,14.5,1.4088
367,66.5,-21.5,1.240288592
368,66.5,13.5,-0.018222576
369,66.5,-20.5,1.535000194
370,66.5,-18.5,0.516203624
371,66.5,7.5,0.19128362
372,67.5,-50.5,-1.7903
373,68.5,-29.5,-0.0416
374,68.5,13.5,-5.797425594
375,68.5,-133.5,0.222
