lat,lon,anom,row,col
65.5,-126.5,3.71725,155,53
66.5,-66.5,3.563825397,156,113
66.5,-20.5,0.449805731,156,159
66.5,-17.5,-0.287162366,156,162
66.5,14.5,1.014888889,156,194
66.5,29.5,-1.89452381,156,209
67.5,-153.5,5.833333333,157,26
67.5,-50.5,-3.3816,157,129
68.5,-138.5,0.9059,158,41
68.5,-133.5,-0.502071429,158,46
68.5,-54.5,0.460555556,158,125
68.5,13.5,-9.41360119,158,193
68.5,19.5,0.390233333,158,199
69.5,20.5,0.307880952,159,200
71.5,28.5,-1.2925,161,208
73.5,-120.5,5.154208333,163,59
75.5,-82.5,0.774273333,165,97
75.5,14.5,-1.117666667,165,194
