,lat,lon,anom,err
0,18.0518,57.609,0.010500000000000398,1.3
1,68.9925,-106.5735,1.4471666666666665,1.7
2,67.05,-50.47,-0.05850000000000044,2.0
3,49.9833,-121.2167,4.5590833333333345,1.4
4,68.37,19.12,0.03906666666666503,1.4
5,79.77,10.74,,2.1
6,33.96,-119.98,0.5335000000000001,2.0
7,46.6814,7.9775,-0.05169908727499806,2.1
8,55.83,13.42,-1.7366666680000016,2.0
9,67.97,20.48,-0.5389999999999997,1.4
10,57.32,-3.9,-0.780476191,2.0
11,46.45,8.52,2.8940816350000027,2.0
12,43.12,-4.02,,2.0
13,46.77,17.17,-4.504642859333334,2.0
14,48.01,6.99,-0.03700000100000267,2.0
15,64.65,-128.08,1.8931999999999998,2.0
16,45.54,-73.31,0.6685333333333325,2.0
17,68.5333,17.2667,1.0529999999999973,2.0
18,75.18,-111.92,0.4881000000000002,2.0
19,57.12,-76.38,0.21646428571428444,2.0
20,55.01,-73.52,0.26425000000000054,2.0
21,49.42,-0.03,1.7935714350000005,2.0
22,72.37,-119.83,0.09225000000000083,2.0
23,73.53,-120.22,1.1058125000000016,2.0
24,42.5445,0.326,,1.4
25,47.19,-1.86,0.39721428616666543,2.0
26,46.4,-78.92,1.060452380952384,2.0
27,45.8,-122.49,0.7692708333333353,2.0
28,54.74,-101.68,1.357000000000001,2.0
29,54.09,24.12,2.185428570999999,2.0
30,37.47,-108.16,-0.6657616666666684,2.0
31,66.34,36.66,-0.0064166666666682914,1.4
32,42.5,-73.32,0.2788666666666657,2.0
33,54.24,-2.99,,1.4
34,46.27,-94.55,0.2993249999999996,2.0
35,52.78,17.73,0.7260582011111154,2.0
36,68.43,18.07,,1.4
37,52.55,20.67,0.15548809499999905,2.0
38,42.08,-71.96,0.8895833311011891,2.0
39,46.26,7.84,1.9458571410000012,2.0
40,55.39,80.62,0.45707500000000323,2.0
41,55.58,-119.43,1.4997500000000006,2.0
42,55.33,-63.2,0.7941666666666656,2.0
43,45.57,-70.68,0.964071428571426,2.0
44,66.9875,-51.0333,-0.32274918442668543,2.1
45,47.93,8.07,1.9518367349999988,2.0
46,47.0,11.14,2.7544387736875002,2.0
47,61.4639,-58.0365,-0.41185714285714425,1.7
48,70.5569,-68.9519,,1.4
49,49.68,-74.58,-0.17511904761904695,2.0
50,46.67,-88.02,1.2771428571428558,2.0
51,61.68,-130.65,0.7477499999999999,2.0
52,48.2,-64.94,0.8761666666666645,2.0
53,55.67,-63.25,-0.191583333333333,2.0
54,64.2572,-110.1008,0.6582592592592592,1.4
55,45.92,-120.88,1.5240000000000027,2.0
56,37.65,-107.81,-1.065678571428574,2.0
57,46.61,-73.0,0.8537500000000016,2.0
58,67.95,32.48,0.5816000000000017,2.0
59,-53.03,-73.9,1.5264399999999991,1.5
60,44.15,7.24,3.499238093333334,2.0
61,43.13,-93.43,-0.9165833333333318,2.0
62,41.64,-86.54,-0.02400000000000091,2.0
63,33.8,-78.95,0.30661666666666676,2.0
64,53.9,-66.77,0.964249999999998,2.0
65,50.03,-56.2,1.3808333333333351,2.0
66,38.87,-107.08,0.031000000000000583,2.0
67,67.83,-115.32,,2.0
68,44.84,-99.91,1.106899999999996,2.0
69,38.83,-106.41,1.0420666666666651,2.0
70,44.1,-78.1,-0.3973499999999994,2.0
71,58.25,8.0,0.9884722222222226,2.0
72,69.17,20.72,0.8865238095238095,2.0
73,54.7,18.17,1.7049999999999983,2.0
74,42.14,-73.41,-0.6527142857142874,2.0
75,43.23,-80.37,-0.4409999999999954,2.0
76,54.42,-69.92,0.4714999999999989,2.0
77,54.42,-69.93,1.0831833333333325,2.0
78,76.7595,-67.61,2.3956,1.4
79,43.48,-85.0,1.175383333333329,2.0
80,65.21,-138.32,0.11333333333333334,2.1
81,43.42,-89.73,0.36777500000000174,2.0
82,75.35,-82.5,-0.7296666666666649,2.0
83,71.87,127.07,1.9803333333333324,2.0
84,68.13,13.58,-2.1812499975,2.0
85,41.93,-70.0,0.08516666666666595,2.0
86,46.64,11.46,3.0939523823500004,2.0
87,43.67,28.55,-5.571999995999999,2.0
88,56.28,-75.1,0.1616666666666653,2.0
89,56.02,-74.95,0.609824999999999,2.0
90,50.69,-99.66,2.224,2.0
91,52.0269,101.0591,-0.37599999999999767,1.4
92,57.8724,-137.1045,,1.5
93,59.5554,-144.1535,-0.9952477026502287,1.5
94,-42.6799,146.5914,,1.4
95,47.18,8.58,,1.4
96,39.94,-105.58,0.7476571428571432,2.0
97,65.5612,-22.4064,,1.4
98,61.1667,-100.9167,-0.39866666666666895,2.0
99,61.24,-100.95,,2.0
100,46.31,7.48,4.201190477999997,2.0
101,-54.497,-37.053,3.941071428571429,2.1
102,34.41,-95.81,0.7601666666666667,2.0
103,58.58,13.67,-0.2881428595000024,2.0
104,59.67,7.55,0.9787499999999998,2.0
105,49.28,-0.45,,2.0
106,49.6,-121.467,-0.3037499999999991,1.4
107,55.11,-75.25,-0.3095333333333361,2.0
108,56.1,-75.28,-0.015625000000001776,2.0
109,72.16,-155.51,-1.2569777777777773,1.7
110,75.0,14.0,-1.3451666666666675,1.5
111,68.165,92.1731,,1.4
112,68.47,17.75,0.9374999999999964,2.0
113,44.05,-87.73,1.3426666666666662,2.0
114,44.3894,10.0475,0.956785714285715,1.4
115,52.32,17.36,3.2087857139999976,2.0
116,47.47,12.36,-0.15571428416666855,2.0
117,60.08,15.83,-0.8524444444444459,1.4
118,48.43,8.25,2.1302976206666635,2.0
119,54.09,18.55,0.5056190438888919,2.0
120,46.21,8.11,5.987795918800002,2.0
121,52.58,19.35,2.919293649851852,2.0
122,44.98,-69.32,-0.0015000000000036096,2.0
123,46.2,7.85,5.913523808000001,2.0
124,45.18,-77.35,0.3188333333333304,2.0
125,47.37,-2.25,,2.0
126,55.03,-62.63,1.0705142857142844,2.0
127,38.0,-116.5,,2.1
128,43.64,-79.47,,2.0
129,50.77,-55.52,7.505145833333334,2.0
130,58.53,7.73,0.23399999999999999,2.0
131,71.04,28.17,3.6277777777777764,2.0
132,79.26,11.52,1.3058285714285738,2.1
133,72.6947,-157.52,0.2577777777777781,1.7
134,60.11,-6.07,-1.6480000000000015,1.7
135,58.3677,-57.507,,1.7
136,58.2098,-48.3733,,1.7
137,77.2667,-74.3317,,1.7
138,46.79,7.83,0.7385714308571405,2.0
139,60.03,-129.02,-3.5421,2.0
140,43.24,-80.41,-0.4574999999999996,2.0
141,65.97,-18.45,,1.4
142,68.38,-138.38,1.8697999999999997,2.0
143,52.93,-66.95,0.2691666666666652,2.0
144,60.83,10.88,1.0248571428571438,2.0
145,49.68,-1.28,-0.24877551142856902,2.0
146,47.32,-53.13,-0.18349999999999866,2.0
147,27.36,100.07,,1.4
148,38.2613,-119.5365,0.28446666666666687,1.4
149,44.52,-76.6,0.31205555555555975,2.0
150,46.7176,8.0677,,1.4
151,46.72,8.07,1.8061904750000028,2.0
152,60.51,25.23,2.9653333333333336,1.4
153,59.83,6.98,1.32925,2.0
154,59.83,6.98,0.8079999999999998,1.4
155,50.1167,6.8833,0.48637081908333357,2.0
156,-52.5518,169.138,-0.11029999999999873,2.0
157,64.63,-138.4,0.17039583333333397,2.0
158,52.45,-56.43,0.12289999999999957,2.0
159,61.9,-145.6667,-0.2289305555555572,1.4
160,49.13,117.5,0.010500000000000398,2.0
161,43.64,-79.48,,2.0
162,43.64,-79.49,,2.0
163,37.28,96.91,-2.9555406,2.1
164,48.9131,22.1636,,1.4
165,66.14,-66.08,0.6960476190476204,2.0
166,50.92,-90.45,,2.0
167,47.14,-93.64,1.2181499999999978,2.0
168,59.77,7.43,1.1544000000000008,2.0
169,60.22,22.13,,2.0
170,71.99,14.36,0.033633333333332516,1.3
171,68.1,-29.35,0.6393555555555546,1.7
172,-49.917,-74.383,1.5291005291005302,1.5
173,69.9,-95.07,0.6016666666666666,2.0
174,69.9,-95.07,1.6536574074074064,1.4
175,63.67,-65.15,0.3998333333333326,2.0
176,42.33,126.37,-1.2309374999999996,2.1
177,58.7347,-65.9342,0.6922666666666686,1.4
178,68.8,35.32,0.2835999999999981,2.0
179,71.34,-113.78,-0.5179686666666656,1.4
180,71.34,-113.78,0.6231300000000006,2.0
181,41.0,140.7667,0.402713785848686,1.5
182,60.73,24.22,,2.0
183,57.63,14.53,0.8317857150000005,2.0
184,46.52,32.62,-3.2718571469999986,2.0
185,58.38,22.2,1.6365102033333354,2.0
186,64.17,-127.62,0.3569999999999993,2.0
187,49.82,-102.3,3.1545999999999985,2.0
188,38.87,-107.03,-2.5130833333333324,2.0
189,67.3628,62.7507,0.19558333333333167,1.4
190,73.0,102.0,-1.497466666666666,1.4
191,62.02,10.37,0.8741249999999994,2.0
