lat,lon,anom,row,col
56.5,-74.5,0.609825,146,105
56.5,-64.5,0.256276191,146,115
56.5,-3.5,-0.306222222,146,176
57.5,-76.5,0.216464286,147,103
57.5,-75.5,-0.066666667,147,104
57.5,-3.5,-0.780476191,147,176
57.5,14.5,0.831785715,147,194
58.5,-75.5,0.702083333,148,104
58.5,-71.5,3.043,148,108
58.5,-65.5,0.692266667,148,114
58.5,-48.5,-0.03925,148,131
58.5,-20.5,0.071315171,148,159
58.5,-6.5,0.173285714,148,173
58.5,7.5,0.619316666,148,187
58.5,8.5,0.988472222,148,188
58.5,13.5,-0.28814286,148,193
58.5,22.5,1.636510203,148,202
58.5,26.5,0.067730158,148,206
58.5,27.5,0.718911561,148,207
59.5,-144.5,-0.995247703,149,35
59.5,-104.5,-0.027361111,149,75
59.5,6.5,1.264359167,149,186
59.5,7.5,1.066575,149,187
59.5,27.5,0.970714285,149,207
59.5,163.5,0.045515651,149,343
60.5,-150.5,0.7375,150,29
60.5,-129.5,-3.5421,150,50
60.5,-6.5,-1.648,150,173
60.5,3.5,0.057666667,150,183
60.5,7.5,2.623809524,150,187
60.5,10.5,1.024857143,150,190
60.5,15.5,-0.852444444,150,195
60.5,25.5,2.965333333,150,205
60.5,29.5,1.432633333,150,209
61.5,-145.5,-0.228930556,151,34
61.5,-143.5,0.27722,151,36
61.5,-138.5,1.002777778,151,41
61.5,-130.5,0.74775,151,49
61.5,-100.5,-0.398666667,151,79
61.5,-58.5,-0.411857143,151,121
61.5,-47.5,3.611583333,151,132
61.5,8.5,1.944095238,151,188
62.5,9.5,1.07675,152,189
62.5,10.5,0.874125,152,190
62.5,22.5,1.857714286,152,202
63.5,-65.5,0.399833333,153,114
63.5,9.5,1.527726191,153,189
63.5,12.5,0.79625,153,192
64.5,-145.5,-0.131375,154,34
64.5,-138.5,0.170395833,154,41
64.5,-128.5,1.8932,154,51
64.5,-127.5,0.357,154,52
64.5,-110.5,0.564829629,154,69
65.5,-138.5,0.113333333,155,41
65.5,-126.5,0.1868,155,53
66.5,-145.5,-0.183541313,156,34
66.5,-104.5,-0.720073333,156,75
66.5,-66.5,0.696047619,156,113
66.5,-51.5,-0.322749184,156,128
66.5,-20.5,0.548688571,156,159
66.5,7.5,-0.727435396,156,187
66.5,14.5,1.816666667,156,194
66.5,29.5,-2.308095238,156,209
66.5,36.5,-0.006416667,156,216
66.5,59.5,0.837833333,156,239
67.5,-153.5,3.339,157,26
67.5,-50.5,-0.0585,157,129
67.5,-30.5,0.758,157,149
67.5,18.5,1.074277778,157,198
67.5,20.5,-0.539,157,200
67.5,29.5,-0.845533333,157,209
67.5,32.5,0.5816,157,212
67.5,59.5,1.49625,157,239
67.5,62.5,0.975958333,157,242
68.5,-154.5,-1.159298973,158,25
68.5,-138.5,0.7749,158,41
68.5,-133.5,0.886785714,158,46
68.5,-106.5,1.447166667,158,73
68.5,-54.5,0.565555556,158,125
68.5,-29.5,0.639355556,158,150
68.5,13.5,-2.181249998,158,193
68.5,14.5,0.4008,158,194
68.5,16.5,0.72575,158,196
68.5,17.5,0.99525,158,197
68.5,18.5,1.084275,158,198
68.5,19.5,0.5472,158,199
68.5,20.5,-0.227176,158,200
68.5,22.5,0.261546296,158,202
68.5,35.5,0.2836,158,215
68.5,65.5,0.85165,158,245
69.5,-95.5,1.127662037,159,84
69.5,-50.5,1.40775,159,129
69.5,20.5,0.88652381,159,200
69.5,21.5,0.500277778,159,201
69.5,25.5,-0.06721,159,205
69.5,123.5,2.174816667,159,303
71.5,-113.5,0.052580667,161,66
71.5,14.5,0.033633333,161,194
71.5,22.5,0.2025,161,202
71.5,28.5,3.627777778,161,208
71.5,42.5,-0.137547619,161,222
71.5,127.5,1.980333333,161,307
72.5,-157.5,0.257777778,162,22
72.5,-155.5,-1.256977778,162,24
72.5,-119.5,0.09225,162,60
73.5,-162.5,0.967983333,163,17
73.5,-120.5,1.1058125,163,59
73.5,102.5,-1.497466667,163,282
73.5,124.5,3.27,163,304
75.5,-111.5,0.4881,165,68
75.5,-82.5,-0.729666667,165,97
75.5,14.5,-1.345166667,165,194
76.5,-68.5,3.47875,166,111
76.5,-67.5,2.3956,166,112
76.5,15.5,2.253666667,166,195
78.5,6.5,0.672,168,186
79.5,11.5,1.305828571,169,191
