,lat,lon,anom
185,53.5,8.5,-1.1698571420000001
186,53.5,8.5,0.040714286
187,53.5,20.5,3.250476187
188,53.5,17.5,-0.8255
189,53.5,-66.5,0.96425
190,54.5,28.5,0.47428571799999997
191,54.5,18.5,0.505619044
192,54.5,24.5,2.185428571
193,54.5,-69.5,1.083183333
194,54.5,-69.5,0.4715
195,54.5,18.5,1.705
196,54.5,-101.5,1.357
197,54.5,-6.5,-0.7719444440000001
198,54.5,-2.5,-0.47200000000000003
199,55.5,-73.5,0.26425
200,55.5,-62.5,1.0705142859999999
201,55.5,-75.5,-0.309533333
202,55.5,-63.5,0.794166667
203,55.5,80.5,0.457075
204,55.5,-14.5,1.25
205,55.5,-119.5,1.49975
206,55.5,-63.5,-0.191583333
207,55.5,13.5,-1.736666668
208,56.5,-74.5,0.609825
209,56.5,-75.5,-0.015625
210,56.5,-75.5,0.161666667
211,56.5,-64.5,-0.307714286
212,56.5,-119.5,-1.4523333330000001
213,56.5,-64.5,0.8202666670000001
214,56.5,-101.5,-1.34347619
215,56.5,-3.5,-0.306222222
216,57.5,-76.5,0.216464286
217,57.5,-3.5,-0.780476191
218,57.5,14.5,0.831785715
219,57.5,-75.5,-0.066666667
220,58.5,-6.5,0.17328571399999998
221,58.5,-48.5,-0.03925
222,58.5,-71.5,3.043
223,58.5,8.5,0.9884722220000001
224,58.5,7.5,1.004633333
225,58.5,22.5,1.636510203
226,58.5,27.5,0.718911561
227,58.5,7.5,0.23399999999999999
228,58.5,-75.5,0.7020833329999999
229,58.5,13.5,-0.28814286
230,58.5,26.5,0.067730158
231,58.5,-65.5,0.6922666670000001
232,58.5,-20.5,0.071315171
233,59.5,163.5,0.018651778
234,59.5,27.5,0.970714285
235,59.5,163.5,0.072379524
236,59.5,-144.5,-0.995247703
237,59.5,7.5,0.97875
238,59.5,7.5,1.1544
239,59.5,6.5,1.460093334
240,59.5,6.5,1.068625
241,59.5,-104.5,-0.027361111
242,60.5,-129.5,-3.5421
243,60.5,15.5,-0.8524444440000001
244,60.5,-6.5,-1.6480000000000001
245,60.5,25.5,2.9653333330000002
246,60.5,29.5,1.432633333
247,60.5,-150.5,0.7375
248,60.5,7.5,2.623809524
249,60.5,10.5,1.024857143
250,60.5,3.5,0.057666667000000005
251,61.5,-47.5,3.611583333
252,61.5,-138.5,1.002777778
253,61.5,-100.5,-0.39866666700000003
254,61.5,-143.5,0.27721999999999997
255,61.5,8.5,1.944095238
256,61.5,-58.5,-0.411857143
257,61.5,-130.5,0.74775
258,61.5,-145.5,-0.228930556
259,62.5,10.5,0.874125
260,62.5,22.5,1.857714286
261,62.5,9.5,1.07675
262,63.5,9.5,1.500666667
263,63.5,12.5,0.79625
264,63.5,9.5,1.554785714
265,63.5,-65.5,0.39983333299999996
266,64.5,-110.5,0.4714
267,64.5,-127.5,0.35700000000000004
268,64.5,-145.5,-0.131375
269,64.5,-110.5,0.6582592589999999
270,64.5,-138.5,0.170395833
271,64.5,-128.5,1.8932
272,65.5,-138.5,0.11333333300000001
273,65.5,-126.5,0.1868
274,66.5,-145.5,-0.183541313
275,66.5,-66.5,0.696047619
276,66.5,29.5,-2.308095238
277,66.5,36.5,-0.006416666999999999
278,66.5,-104.5,-0.720073333
279,66.5,14.5,1.8166666669999998
280,66.5,59.5,0.837833333
281,66.5,-20.5,0.548688571
282,66.5,7.5,-0.727435396
283,66.5,-51.5,-0.32274918399999997
284,67.5,-50.5,-0.0585
285,67.5,59.5,1.49625
286,67.5,-30.5,0.758
287,67.5,-153.5,3.339
288,67.5,62.5,0.195583333
289,67.5,18.5,1.074277778
290,67.5,62.5,1.7563333330000002
291,67.5,29.5,-0.845533333
292,67.5,32.5,0.5816
293,67.5,20.5,-0.539
294,68.5,20.5,-0.22717600000000002
295,68.5,-29.5,0.639355556
296,68.5,13.5,-2.181249998
297,68.5,65.5,0.85165
298,68.5,-133.5,0.8867857140000001
299,68.5,18.5,2.92825
300,68.5,18.5,-0.88
301,68.5,18.5,1.34375
302,68.5,19.5,1.0553333329999999
303,68.5,-154.5,-1.159298973
304,68.5,18.5,0.9451
305,68.5,19.5,0.039066667
306,68.5,-138.5,1.8698
307,68.5,22.5,0.261546296
308,68.5,17.5,0.9375
309,68.5,-54.5,0.5655555560000001
310,68.5,14.5,0.4008
311,68.5,17.5,1.053
312,68.5,16.5,0.72575
313,68.5,35.5,0.2836
314,68.5,-138.5,-0.32
315,68.5,-106.5,1.4471666669999999
316,69.5,25.5,-0.06721
317,69.5,20.5,0.88652381
318,69.5,21.5,0.500277778
319,69.5,-50.5,1.40775
320,69.5,123.5,2.174816667
321,69.5,-95.5,1.1276620370000001
322,71.5,28.5,3.627777778
323,71.5,-113.5,0.052580667000000005
324,71.5,22.5,0.2025
325,71.5,42.5,-0.137547619
326,71.5,127.5,1.9803333330000001
327,71.5,14.5,0.033633333
328,72.5,-155.5,-1.256977778
329,72.5,-119.5,0.09225
